user_id,trip_id,origin_airport,destination_airport,home_country,home_airport,home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon
23557,,,,usa,LGA,40.777,-73.872,,
23557,,,,usa,LGA,40.777,-73.872,,
23557,23557-753d651e2b6a493080bcf880b1ce7cba,,,usa,LGA,40.777,-73.872,,
23557,23557-0c179482e53242b1b28d90c33dfa6050,,,usa,LGA,40.777,-73.872,,
23557,,,,usa,LGA,40.777,-73.872,,
23557,,,,usa,LGA,40.777,-73.872,,
23557,,,,usa,LGA,40.777,-73.872,,
23557,,,,usa,LGA,40.777,-73.872,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,,,,usa,MCI,39.297,-94.714,,
94883,94883-6df625fce4364de499e99b0e608322e7,MCI,YZD,usa,MCI,39.297,-94.714,43.862,-79.37
94883,94883-bcc118ad37024c4ab14c62d46daf2ac0,MCI,LRF,usa,MCI,39.297,-94.714,30.494,-81.688
101486,101486-1015905607d74b15954bfd4ac7029ef3,TCM,YED,usa,TCM,47.138,-122.476,53.667,-113.467
101486,101486-6759c5dd49a1457d916bb2bbf48c3115,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101486,,,,usa,TCM,47.138,-122.476,,
101961,,,,usa,BOS,42.364,-71.005,,
101961,,,,usa,BOS,42.364,-71.005,,
101961,,,,usa,BOS,42.364,-71.005,,
101961,101961-19f641633ebc442799662326f0b4dfa0,BOS,LGA,usa,BOS,42.364,-71.005,40.64,-73.779
101961,101961-f92e8fdfcdb14e188f296cce3a092e5b,BOS,HLZ,usa,BOS,42.364,-71.005,43.173,-79.935
101961,101961-836fd88487d240baa4402c8e4c6f188c,BOS,BFI,usa,BOS,42.364,-71.005,47.53,-122.302
101961,101961-29a8ff7c9910469c959fffa60215cf78,BOS,YHU,usa,BOS,42.364,-71.005,45.517,-73.417
101961,101961-c4c922fbc83342779565d249ee5e6bf7,BOS,CLT,usa,BOS,42.364,-71.005,35.214,-80.943
106907,106907-718c9cf6c29245fa9b2b31893833ac2c,TNT,DUR,usa,TNT,25.862,-80.897,-29.97,30.95
106907,106907-718c9cf6c29245fa9b2b31893833ac2c,TNT,DUR,usa,TNT,25.862,-80.897,-29.97,30.95
106907,,,,usa,TNT,25.862,-80.897,,
106907,,,,usa,TNT,25.862,-80.897,,
106907,,,,usa,TNT,25.862,-80.897,,
106907,,,,usa,TNT,25.862,-80.897,,
106907,,,,usa,TNT,25.862,-80.897,,
106907,,,,usa,TNT,25.862,-80.897,,
118043,,,,usa,LAX,33.942,-118.408,,
118043,,,,usa,LAX,33.942,-118.408,,
118043,,,,usa,LAX,33.942,-118.408,,
118043,118043-3148ad84821c481f81764ed8643adbbf,,,usa,LAX,33.942,-118.408,,
118043,118043-6fcf9e95e2a940fc88b1a79356f4a6b9,,,usa,LAX,33.942,-118.408,,
118043,118043-8007f41e31224235a9bb934ad0e612c7,LAX,LGA,usa,LAX,33.942,-118.408,40.64,-73.779
118043,118043-f5803cf1538948efaa4c708650f57316,LAX,HOU,usa,LAX,33.942,-118.408,29.607,-95.159
118043,118043-f7b09b9e95ce49758d091176d944df52,LAX,BIF,usa,LAX,33.942,-118.408,31.849,-106.38
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,,,,usa,SNA,33.676,-117.868,,
120851,120851-c3a8efaebb624ff193beed133c44931f,SNA,YXD,usa,SNA,33.676,-117.868,53.667,-113.467
125845,,,,usa,BIF,31.849,-106.38,,
125845,,,,usa,BIF,31.849,-106.38,,
125845,,,,usa,BIF,31.849,-106.38,,
125845,125845-7d3e3ffbcc8049009e67b8162ecc4b09,BIF,LGA,usa,BIF,31.849,-106.38,40.64,-73.779
125845,125845-6f3076cc632544c7a454719f861bb2a9,BIF,IND,usa,BIF,31.849,-106.38,39.717,-86.294
125845,,,,usa,BIF,31.849,-106.38,,
125845,,,,usa,BIF,31.849,-106.38,,
125845,,,,usa,BIF,31.849,-106.38,,
125845,125845-26e90f5623864471be6aed403b56fdd9,BIF,YOW,usa,BIF,31.849,-106.38,45.323,-75.669
133058,133058-0906823d0fce465fa9fce160fd20a7a5,AUS,YHU,usa,AUS,30.194,-97.67,45.517,-73.417
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
133058,,,,usa,AUS,30.194,-97.67,,
149058,,,,usa,BHM,33.563,-86.753,,
149058,,,,usa,BHM,33.563,-86.753,,
149058,149058-0562d645484d450b8908ae40825aaf46,BHM,LSQ,usa,BHM,33.563,-86.753,33.942,-118.408
149058,,,,usa,BHM,33.563,-86.753,,
149058,149058-e23eb6b663ff404f8775d22ddbf8df94,BHM,YYC,usa,BHM,33.563,-86.753,51.114,-114.02
149058,149058-2373ccda96844915a89d20eca33b2bec,BHM,SKF,usa,BHM,33.563,-86.753,29.529,-98.279
149058,149058-74e8d20dfe8e46beadee4495c248f210,BHM,AUS,usa,BHM,33.563,-86.753,30.194,-97.67
149058,149058-4948c2bf41744fa7a4ef4970a2d00e10,BHM,JFK,usa,BHM,33.563,-86.753,40.64,-73.779
152583,152583-13d70f8ee2ca41c6a49ae3ec2e36a852,COS,YYZ,usa,COS,38.806,-104.7,43.862,-79.37
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
152583,,,,usa,COS,38.806,-104.7,,
153982,,,,canada,YKZ,43.862,-79.37,,
153982,,,,canada,YKZ,43.862,-79.37,,
153982,,,,canada,YKZ,43.862,-79.37,,
153982,,,,canada,YKZ,43.862,-79.37,,
153982,,,,canada,YKZ,43.862,-79.37,,
153982,153982-f2187763b9a242f3b923b32ff0e3c7ab,YKZ,YYC,canada,YKZ,43.862,-79.37,51.114,-114.02
153982,153982-0b0c5d9f587d4e3bb8360b41d96a4890,YKZ,LGA,canada,YKZ,43.862,-79.37,40.64,-73.779
153982,153982-a950760d74854416b1c854d58999f039,YKZ,BWI,canada,YKZ,43.862,-79.37,39.175,-76.668
160754,,,,usa,LGA,40.777,-73.872,,
160754,160754-aae2d0adf0024b27a3249d53ba42918c,LGA,YOW,usa,LGA,40.777,-73.872,45.323,-75.669
160754,,,,usa,LGA,40.777,-73.872,,
160754,,,,usa,LGA,40.777,-73.872,,
160754,,,,usa,LGA,40.777,-73.872,,
160754,,,,usa,LGA,40.777,-73.872,,
160754,,,,usa,LGA,40.777,-73.872,,
160754,,,,usa,LGA,40.777,-73.872,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
164522,,,,usa,MCI,39.297,-94.714,,
